,index,eventId,seriesId,matchId,teamId,teamName,map,oppTeamId,oppTeamName,teamScore,atkFirst,won,acs,kills,firstKills,deaths,firstDeaths,assists,damage,headshots,bodyshots,legshots,plants,defusals,clutches,clutchOpponents,clutchOpportunities,KDR,KD,FKD,KDA,spentCreds,loadoutValue,avgEconRating,dates
476,477,566,14116,28923,279,LG,Icebox,2367,WS,13,0,1,247.90588235294118,77,12,41,5,35,155.83529411764707,54,127,14,5,2,0,7,3,1.8780487804878048,36,7,77.85365853658537,2197.0588235294117,4020.0,70.92904953145917,2021-07-01
319,319,566,14164,29066,4002,GOD,Ascent,978,GHST,4,0,0,134.72941176470587,37,7,72,10,14,84.92941176470588,29,127,12,2,2,0,44,12,0.5138888888888888,-35,-3,37.19444444444444,2420.0,2860.5882352941176,35.09479824987846,2021-07-01
318,318,566,14164,29066,978,GHST,Ascent,4002,GOD,13,1,1,231.8,72,10,37,7,32,145.0705882352941,52,151,8,9,2,0,13,4,1.945945945945946,35,3,72.86486486486487,2079.4117647058824,3867.6470588235293,69.76520509193776,2021-07-01
317,317,566,14159,29052,3530,UNNAMED,Icebox,799,UNNAMED,13,1,1,256.35714285714283,67,9,37,5,20,159.05714285714285,42,134,10,11,1,3,7,4,1.8108108108108107,30,4,67.54054054054055,2159.285714285714,3775.714285714286,73.66192523982798,2021-07-01
316,316,566,14159,29052,799,UNNAMED,Icebox,3530,UNNAMED,1,0,0,168.85714285714286,37,5,67,9,10,100.5,28,118,24,1,1,0,40,13,0.5522388059701493,-30,-4,37.149253731343286,2507.8571428571427,3003.5714285714284,40.074052976360015,2021-07-01
315,315,566,14159,29051,3530,UNNAMED,Ascent,799,UNNAMED,2,0,0,142.2,32,4,67,11,15,87.98666666666666,26,77,13,3,0,0,41,12,0.47761194029850745,-35,-7,32.223880597014926,2361.3333333333335,3047.3333333333335,37.26143421795595,2021-07-01
314,314,566,14159,29051,799,UNNAMED,Ascent,3530,UNNAMED,13,1,1,238.26666666666668,67,11,32,4,22,145.14666666666668,58,124,10,11,2,1,9,3,2.09375,35,7,67.6875,2056.6666666666665,3625.3333333333335,70.57374392220423,2021-07-01
313,313,566,14121,28938,3981,UNNAMED,Ascent,2954,SQ,2,1,0,145.05333333333334,35,6,73,9,11,85.66666666666667,20,96,7,3,0,2,43,15,0.4794520547945205,-38,-3,35.15068493150685,2355.3333333333335,2664.0,36.37135578828191,2021-07-01
312,312,566,14121,28938,2954,SQ,Ascent,3981,UNNAMED,13,0,1,259.6933333333333,73,9,35,6,34,151.62666666666667,44,134,22,3,1,3,9,4,2.085714285714286,38,3,73.97142857142858,2299.3333333333335,4037.3333333333335,65.94375181211944,2021-07-01
311,311,566,14121,28937,3981,UNNAMED,Haven,2954,SQ,6,0,0,161.33684210526314,48,6,75,13,18,100.58947368421053,40,118,13,2,1,1,53,14,0.64,-27,-7,48.24,2371.0526315789475,3164.7368421052633,42.42397336293008,2021-07-01
310,310,566,14121,28937,2954,SQ,Haven,3981,UNNAMED,13,1,1,213.97894736842105,75,13,48,6,36,136.56842105263158,48,203,17,9,1,1,19,7,1.5625,27,7,75.75,2322.1052631578946,3935.7894736842104,58.81233000906619,2021-07-01
309,309,566,14160,29055,4000,UNNAMED,Bind,1215,UNNAMED,3,1,0,158.75,42,6,70,10,15,90.8125,33,92,21,5,0,0,48,13,0.6,-28,-4,42.214285714285715,2453.125,3246.875,37.01910828025478,2021-07-01
308,308,566,14160,29055,1215,UNNAMED,Bind,4000,UNNAMED,13,0,1,232.875,70,10,42,6,21,137.5875,56,147,16,4,2,1,12,4,1.6666666666666667,28,4,70.5,2088.75,3661.875,65.87073608617594,2021-07-01
307,307,566,14160,29054,4000,UNNAMED,Haven,1215,UNNAMED,6,0,0,161.90526315789472,52,10,76,9,16,101.48421052631579,45,122,10,3,1,1,50,14,0.6842105263157895,-24,1,52.21052631578947,2543.157894736842,3202.1052631578946,39.90480132450331,2021-07-01
306,306,566,14160,29054,1215,UNNAMED,Haven,4000,UNNAMED,13,1,1,223.38947368421051,76,9,52,10,30,139.31578947368422,62,162,3,10,0,0,22,6,1.4615384615384615,24,-1,76.57692307692308,1916.3157894736842,3608.4210526315787,72.69980774512497,2021-07-01
305,305,566,14168,29080,575,UNNAMED,Icebox,825,UNNAMED,13,1,1,216.24444444444444,73,9,59,9,20,132.8,64,105,8,10,1,5,25,10,1.2372881355932204,14,0,73.33898305084746,2536.1111111111113,3927.777777777778,52.36363636363636,2021-07-01
304,304,566,14168,29080,825,UNNAMED,Icebox,575,UNNAMED,5,0,0,191.92222222222222,59,9,73,9,12,113.85555555555555,47,131,8,2,1,1,40,14,0.8082191780821918,-14,0,59.16438356164384,2480.0,3129.4444444444443,45.909498207885306,2021-07-01
303,303,566,14168,29079,575,UNNAMED,Ascent,825,UNNAMED,9,0,0,182.23636363636365,68,13,75,9,26,122.25454545454545,58,173,4,3,0,0,47,13,0.9066666666666666,-7,4,68.34666666666666,2540.4545454545455,3607.7272727272725,48.12309894435498,2021-07-01
302,302,566,14168,29079,825,UNNAMED,Ascent,575,UNNAMED,13,1,1,193.8090909090909,75,9,68,13,18,125.39090909090909,58,178,8,5,0,0,38,9,1.1029411764705883,7,-4,75.26470588235294,2246.3636363636365,3732.7272727272725,55.81950627276406,2021-07-01
301,301,566,14168,29078,575,UNNAMED,Split,825,UNNAMED,13,1,1,228.85,69,9,40,7,16,139.9625,52,150,8,10,0,2,15,5,1.725,29,2,69.4,2431.25,3758.125,57.5681233933162,2021-07-01
300,300,566,14168,29078,825,UNNAMED,Split,575,UNNAMED,3,0,0,160.0625,40,7,69,9,7,103.025,33,114,10,1,1,0,48,13,0.5797101449275363,-29,-2,40.10144927536232,2270.0,2863.125,45.385462555066084,2021-07-01
299,299,566,14172,29091,1154,UNNAMED,Bind,3702,LEVI,3,1,0,156.5125,40,3,72,13,18,94.4,38,93,9,6,0,0,46,13,0.5555555555555556,-32,-10,40.25,2446.25,2973.125,38.589678078691875,2021-07-01
298,298,566,14172,29091,3702,LEVI,Bind,1154,UNNAMED,13,0,1,241.35,72,13,40,3,26,141.5625,47,160,15,4,3,2,11,5,1.8,32,10,72.65,2178.125,4016.25,64.99282639885222,2021-07-01
297,297,566,14172,29090,1154,UNNAMED,Haven,3702,LEVI,7,0,0,150.56,49,9,77,11,17,106.11,42,135,8,4,2,1,55,14,0.6363636363636364,-28,-2,49.22077922077922,2395.0,3029.5,44.30480167014614,2021-07-01
296,296,566,14172,29090,3702,LEVI,Haven,1154,UNNAMED,13,1,1,214.57,77,11,49,9,28,133.26,45,196,21,10,1,1,26,8,1.5714285714285714,28,2,77.57142857142857,2202.0,3914.0,60.51771117166212,2021-07-01
295,295,566,14165,29070,4003,UNNAMED,Icebox,848,ZM,1,1,0,137.82857142857142,28,5,67,9,10,88.81428571428572,23,86,10,5,0,0,47,13,0.417910447761194,-39,-4,28.149253731343283,2448.5714285714284,2797.8571428571427,36.271878646441074,2021-07-01
320,320,566,14164,29067,978,GHST,Haven,4002,GOD,13,0,1,249.21333333333334,71,11,29,4,20,145.53333333333333,48,121,4,3,3,1,6,3,2.4482758620689653,42,7,71.6896551724138,2204.6666666666665,4068.0,66.0114907771394,2021-07-01
294,294,566,14165,29070,848,ZM,Icebox,4003,UNNAMED,13,0,1,261.3,67,9,28,5,17,162.0142857142857,36,121,9,2,3,1,5,2,2.392857142857143,39,4,67.60714285714286,2250.0,4062.8571428571427,72.0063492063492,2021-07-01
321,321,566,14164,29067,4002,GOD,Haven,978,GHST,2,1,0,130.38666666666666,29,4,71,11,12,86.49333333333334,29,76,10,5,0,1,51,14,0.4084507042253521,-42,-7,29.169014084507044,2346.6666666666665,2665.3333333333335,36.85795454545455,2021-07-01
323,323,566,14136,28982,3987,UNNAMED,Ascent,617,FAZE,5,1,0,167.8111111111111,50,4,77,14,16,110.68888888888888,40,142,9,4,1,0,47,13,0.6493506493506493,-27,-10,50.20779220779221,2522.222222222222,3186.1111111111113,43.88546255506608,2021-07-01
348,348,566,14171,29088,278,TSM,Haven,2934,UNNAMED,13,0,1,241.8875,71,13,36,3,21,156.7125,61,149,4,4,3,0,10,3,1.9722222222222223,35,10,71.58333333333333,1820.625,3800.0,86.07621009268796,2021-07-01
347,347,566,14171,29087,2934,UNNAMED,Split,278,TSM,2,0,0,150.09333333333333,34,6,67,9,17,92.01333333333334,23,116,15,0,0,0,46,13,0.5074626865671642,-33,-3,34.25373134328358,2257.3333333333335,2942.0,40.76196101594802,2021-07-01
346,346,566,14171,29087,278,TSM,Split,2934,UNNAMED,13,1,1,233.74666666666667,67,9,34,6,18,148.25333333333333,47,117,9,6,0,1,12,3,1.9705882352941178,33,3,67.52941176470588,2162.0,4066.0,68.5723095898859,2021-07-01
345,345,566,14119,28932,3980,SEW,Bind,1448,EG,3,1,0,174.2375,48,6,75,10,17,103.0625,45,97,8,7,0,1,38,14,0.64,-27,-4,48.22666666666667,2491.875,2872.5,41.359418108853774,2021-07-01
344,344,566,14119,28932,1448,EG,Bind,3980,SEW,13,0,1,250.5875,75,10,48,6,22,150.8875,51,161,7,4,4,4,12,7,1.5625,27,4,75.45833333333333,2430.625,3625.625,62.07765492414502,2021-07-01
343,343,566,14119,28931,3980,SEW,Ascent,1448,EG,9,0,0,187.4909090909091,65,9,83,13,27,126.2,74,163,18,6,1,2,53,15,0.7831325301204819,-18,-4,65.32530120481928,2522.2727272727275,3428.6363636363635,50.034240403676336,2021-07-01
